x,y,heading
367166.5107993739,3450738.2445668359,-2.6289332656
367166.3184686694,3450738.1363124624,-2.6289332945
367166.0869262760,3450738.0059875874,-2.6289333267
367165.8553838741,3450737.8756627175,-2.6289333485
367165.6238414688,3450737.7453378523,-2.6289333803
367165.3922990554,3450737.6150129922,-2.6289334020
367165.1607566384,3450737.4846881367,-2.6289334283
367164.9292142155,3450737.3543632859,-2.6289334634
367164.6976717843,3450737.2240384412,-2.6289334818
367164.4661293498,3450737.0937136002,-2.6289335096
367164.2345869093,3450736.9633887643,-2.6289335416
367164.0030444606,3450736.8330639335,-2.6289335579
367163.9357494319,3450736.7951865899,-2.6289330600
367163.7042070298,3450736.6648616386,-2.6289330907
367163.4726646218,3450736.5345366932,-2.6289331212
367163.2411222055,3450736.4042117526,-2.6289331445
367163.0095797858,3450736.2738868170,-2.6289331659
367162.7780373602,3450736.1435618848,-2.6289331981
367162.5464949288,3450736.0132369590,-2.6289332243
367162.3149524914,3450735.8829120379,-2.6289332503
367162.0834100483,3450735.7525871214,-2.6289332825
367161.8518675968,3450735.6222622101,-2.6289333040
367161.6203251419,3450735.4919373034,-2.6289333317
367161.3887826811,3450735.3616124019,-2.6289333593
367161.1572402145,3450735.2312875055,-2.6289333869
367160.9256977396,3450735.1009626128,-2.6289334145
367160.6941552613,3450734.9706377266,-2.6289334392
367160.4626127770,3450734.8403128446,-2.6289334667
367160.2310702869,3450734.7099879677,-2.6289334943
367159.9995277910,3450734.5796630960,-2.6289335145
367159.7679852892,3450734.4493382270,-2.6289335526
367159.5364427791,3450734.3190133651,-2.6289335671
367159.4691488038,3450734.2811366152,-2.6399083951
367159.2364970343,3450734.1535291146,-2.6399084287
367159.0038452591,3450734.0259216209,-2.6399084500
367158.7711934780,3450733.8983141305,-2.6399084804
367158.5385416912,3450733.7707066461,-2.6399085048
367158.3058898986,3450733.6430991660,-2.6399085336
367158.0732381002,3450733.5154916914,-2.6399085611
367157.8405862960,3450733.3878842220,-2.6399085854
367157.6079344861,3450733.2602767567,-2.6399086129
367157.3752826704,3450733.1326692966,-2.6399086386
367157.1426308489,3450733.0050618411,-2.6399086691
367156.9099790216,3450732.8774543917,-2.6399086950
367156.6773271886,3450732.7498469469,-2.6399087224
367156.4446753497,3450732.6222395073,-2.6399087466
367156.2120235052,3450732.4946320718,-2.6399087756
367155.9793716548,3450732.3670246419,-2.6399087999
367155.7467197987,3450732.2394172163,-2.6399088320
367155.5140679367,3450732.1118097971,-2.6399088563
367155.2814160690,3450731.9842023822,-2.6399088794
367155.0487641979,3450731.8565949723,-2.6399089080
367154.8161123186,3450731.7289875667,-2.6399089382
367154.5834604311,3450731.6013801657,-2.6399089644
